38279 200000 | 25853 27630 23075 23075
38278 200000 | 25687 27392 23477 23477
38134 200000 | 25669 27490 23109 23109
38296 200000 | 26016 27511 23065 23065
38146 200000 | 25677 27316 23299 23299
38240 200000 | 25809 27516 23155 23155
38106 200000 | 25614 27427 23171 23171
38348 200000 | 25709 27669 23318 23318
37855 200000 | 25379 27400 22931 22931
38648 200000 | 26072 27829 23395 23395
38347 200000 | 25625 27757 23312 23312
38432 200000 | 25729 27834 23301 23301
38424 200000 | 25750 27749 23349 23349
38048 200000 | 25519 27397 23180 23180
