2839 200000 | 2122 2036 1520 1520
2768 200000 | 2069 2048 1419 1419
2778 200000 | 2067 2033 1456 1456
2742 200000 | 2037 2046 1401 1401
2769 200000 | 2062 2047 1429 1429
2822 200000 | 2119 2056 1469 1469
2783 200000 | 2089 2069 1408 1408
2706 200000 | 2030 1982 1400 1400
2654 200000 | 1993 1942 1373 1373
2859 200000 | 2149 2063 1506 1506
2748 200000 | 2062 2015 1419 1419
2737 200000 | 2047 1980 1447 1447
2739 200000 | 1989 2047 1442 1442
2838 200000 | 2106 2096 1474 1474
2821 200000 | 2137 2063 1442 1442
2746 200000 | 2063 1978 1451 1451
2701 200000 | 1959 1982 1461 1461
2718 200000 | 2025 1999 1412 1412
2687 200000 | 1982 2003 1389 1389
