1268 200000 | 642 944 950 950
1241 200000 | 659 934 889 889
1387 200000 | 724 1033 1017 1017
1233 200000 | 647 884 935 935
1298 200000 | 639 960 997 997
1306 200000 | 679 951 982 982
1317 200000 | 680 960 994 994
1302 200000 | 655 946 1003 1003
1266 200000 | 659 931 942 942
1327 200000 | 663 978 1013 1013
1335 200000 | 712 968 990 990
1330 200000 | 677 973 1010 1010
1298 200000 | 649 971 976 976
1276 200000 | 648 978 926 926
1241 200000 | 614 931 937 937
1363 200000 | 699 1020 1007 1007
1324 200000 | 670 996 982 982
1366 200000 | 701 1021 1010 1010
1344 200000 | 690 991 1007 1007
1282 200000 | 666 927 971 971
1363 200000 | 733 1017 976 976
1331 200000 | 678 981 1003 1003
1315 200000 | 656 963 1011 1011
1321 200000 | 657 1000 985 985
1308 200000 | 672 997 947 947
1299 200000 | 669 961 968 968
1371 200000 | 736 1012 994 994
1350 200000 | 701 992 1007 1007
1274 200000 | 640 944 964 964
1335 200000 | 675 962 1033 1033
1319 200000 | 667 966 1005 1005
1332 200000 | 693 990 981 981
1308 200000 | 646 997 973 973
1365 200000 | 685 1016 1029 1029
1323 200000 | 677 964 1005 1005
1292 200000 | 665 948 971 971
1325 200000 | 675 998 977 977
1271 200000 | 687 954 901 901
1323 200000 | 687 999 960 960
