42837 57080 | 28640 28568 28466 28466
43044 57080 | 28760 28705 28623 28623
42734 57080 | 28545 28473 28450 28450
42881 57080 | 28596 28649 28517 28517
42874 57080 | 28356 28840 28552 28552
6339 8552 | 4175 4223 4280 4280
6386 8552 | 4274 4248 4250 4250
6399 8552 | 4211 4271 4316 4316
6425 8552 | 4344 4224 4282 4282
6443 8552 | 4277 4280 4329 4329
3851 5151 | 2546 2595 2561 2561
3874 5151 | 2575 2557 2616 2616
3867 5151 | 2595 2599 2540 2540
27199 36113 | 18123 17986 18289 18289
26972 36113 | 17995 17994 17955 17955
26997 36113 | 17852 18049 18093 18093
27085 36113 | 18195 18091 17884 17884
27030 36113 | 18000 18043 18017 18017
