27335 36502 | 18252 18213 18205 18205
27316 36502 | 18247 18236 18149 18149
27278 36502 | 18216 18205 18135 18135
27324 36502 | 18251 18151 18246 18246
27302 36502 | 18281 18176 18147 18147
25396 34027 | 16832 17021 16939 16939
25551 34027 | 16997 17116 16989 16989
25547 34027 | 16974 16976 17144 17144
25466 34027 | 17165 16732 17035 17035
25492 34027 | 17036 16973 16975 16975
45455 60511 | 30278 30382 30250 30250
44928 59745 | 30054 29813 29989 29989
44303 58998 | 29592 29474 29540 29540
44557 59745 | 29698 29835 29581 29581
46555 62103 | 31120 30855 31135 31135
45979 61126 | 30687 30591 30680 30680
46035 61296 | 30631 30700 30739 30739
49221 65541 | 32853 32824 32765 32765
44792 59745 | 29748 29942 29894 29894
45305 60511 | 30202 30127 30281 30281
44395 58998 | 29640 29568 29582 29582
44921 59745 | 29963 29943 29936 29936
46449 62103 | 31048 31072 30778 30778
