3293 200000 | 2257 2014 2315 2315
3217 200000 | 2246 1953 2235 2235
3134 200000 | 2213 1886 2169 2169
3275 200000 | 2264 2030 2256 2256
3312 200000 | 2276 2006 2342 2342
3206 200000 | 2280 1949 2183 2183
3193 200000 | 2226 1974 2186 2186
3248 200000 | 2303 1925 2268 2268
3289 200000 | 2295 1997 2286 2286
3295 200000 | 2336 1974 2280 2280
3171 200000 | 2187 1909 2246 2246
3304 200000 | 2322 1999 2287 2287
3250 200000 | 2314 1995 2191 2191
3282 200000 | 2253 2031 2280 2280
3339 200000 | 2364 1990 2324 2324
3209 200000 | 2219 1928 2271 2271
