1608 200000 | 928 1180 1108 1108
1608 200000 | 965 1139 1112 1112
1589 200000 | 911 1169 1098 1098
1577 200000 | 900 1162 1092 1092
1525 200000 | 881 1125 1044 1044
1566 200000 | 903 1130 1099 1099
1573 200000 | 892 1125 1129 1129
1528 200000 | 869 1154 1033 1033
1663 200000 | 940 1203 1183 1183
1520 200000 | 861 1137 1042 1042
1614 200000 | 916 1172 1140 1140
1544 200000 | 914 1129 1045 1045
1654 200000 | 957 1191 1160 1160
1601 200000 | 920 1174 1108 1108
1601 200000 | 873 1209 1120 1120
1626 200000 | 939 1171 1142 1142
1566 200000 | 925 1130 1077 1077
1647 200000 | 977 1189 1128 1128
1605 200000 | 956 1154 1100 1100
1604 200000 | 912 1176 1120 1120
