139 300000 | 62 108 108 108
126 300000 | 64 95 93 93
137 300000 | 75 100 99 99
125 300000 | 58 102 90 90
122 300000 | 64 86 94 94
145 300000 | 70 112 108 108
136 300000 | 73 97 102 102
126 300000 | 69 85 98 98
137 300000 | 75 103 96 96
113 300000 | 66 76 84 84
111 300000 | 52 91 79 79
157 300000 | 81 106 127 127
124 300000 | 58 100 90 90
135 300000 | 74 102 94 94
129 300000 | 59 96 103 103
123 300000 | 64 91 91 91
123 300000 | 57 94 95 95
136 300000 | 67 107 98 98
129 300000 | 64 97 97 97
135 300000 | 76 100 94 94
134 300000 | 81 90 97 97
118 300000 | 61 89 86 86
119 300000 | 52 94 92 92
123 300000 | 66 97 83 83
130 300000 | 64 100 96 96
114 300000 | 57 85 86 86
124 300000 | 59 103 86 86
127 300000 | 56 92 106 106
130 300000 | 60 106 94 94
150 300000 | 78 111 111 111
137 300000 | 65 109 100 100
129 300000 | 74 97 87 87
135 300000 | 72 104 94 94
114 300000 | 58 85 85 85
132 300000 | 66 104 94 94
135 300000 | 74 101 95 95
135 300000 | 64 99 107 107
126 300000 | 54 98 100 100
153 300000 | 76 111 119 119
