17843 300000 | 9853 12544 13289 13289
18012 300000 | 10069 12601 13354 13354
18028 300000 | 10045 12560 13451 13451
17869 300000 | 10034 12331 13373 13373
17884 300000 | 9943 12421 13404 13404
17890 300000 | 10058 12367 13355 13355
17921 300000 | 10186 12348 13308 13308
17765 300000 | 9918 12352 13260 13260
18120 300000 | 10040 12671 13529 13529
17851 300000 | 9805 12502 13395 13395
17904 300000 | 10037 12386 13385 13385
18021 300000 | 9959 12585 13498 13498
17935 300000 | 10058 12452 13360 13360
17745 300000 | 9843 12447 13200 13200
17974 300000 | 9986 12502 13460 13460
17975 300000 | 10021 12472 13457 13457
18203 300000 | 10097 12634 13675 13675
17920 300000 | 9984 12470 13386 13386
17953 300000 | 10091 12429 13386 13386
18040 300000 | 9948 12591 13541 13541
17927 300000 | 9916 12425 13513 13513
18184 300000 | 10078 12773 13517 13517
17919 300000 | 10049 12460 13329 13329
18121 300000 | 10092 12663 13487 13487
17710 300000 | 9880 12388 13152 13152
18111 300000 | 10130 12634 13458 13458
18039 300000 | 10062 12485 13531 13531
17771 300000 | 9818 12398 13326 13326
