16934 200000 | 10050 13482 10336 10336
16903 200000 | 9835 13624 10347 10347
17069 200000 | 10130 13613 10395 10395
16680 200000 | 9929 13209 10222 10222
16972 200000 | 10028 13441 10475 10475
16889 200000 | 9969 13498 10311 10311
16981 200000 | 9936 13542 10484 10484
16828 200000 | 9968 13396 10292 10292
16995 200000 | 10051 13479 10460 10460
16957 200000 | 10029 13553 10332 10332
16844 200000 | 10073 13271 10344 10344
16972 200000 | 10010 13419 10515 10515
16995 200000 | 9976 13571 10443 10443
17164 200000 | 10142 13634 10552 10552
17002 200000 | 10016 13532 10456 10456
17125 200000 | 10110 13571 10569 10569
16870 200000 | 9934 13429 10377 10377
16891 200000 | 9969 13515 10298 10298
16862 200000 | 10036 13352 10336 10336
17120 200000 | 10132 13622 10486 10486
16988 200000 | 10067 13560 10349 10349
16775 200000 | 9890 13313 10347 10347
17006 200000 | 9957 13535 10520 10520
16770 200000 | 9876 13396 10268 10268
16925 200000 | 9993 13464 10393 10393
16634 200000 | 9809 13217 10242 10242
16924 200000 | 10030 13427 10391 10391
16997 200000 | 10153 13442 10399 10399
16978 200000 | 10008 13476 10472 10472
16926 200000 | 10066 13482 10304 10304
