82862 110727 | 55343 55218 55163 55163
82964 110727 | 55433 55152 55343 55343
83130 110727 | 55600 55396 55264 55264
82914 110727 | 55319 55329 55180 55180
82955 110727 | 55288 55406 55216 55216
15597 20774 | 10351 10528 10315 10315
18232 24335 | 12235 12102 12127 12127
15586 20774 | 10347 10362 10463 10463
15682 20774 | 10454 10365 10545 10545
13101 17394 | 8720 8710 8772 8772
15538 20774 | 10348 10295 10433 10433
18185 24335 | 12014 12175 12181 12181
13153 17394 | 8782 8775 8749 8749
15471 20774 | 10306 10309 10327 10327
