1768 200000 | 711 1709 1116 1116
1800 200000 | 727 1757 1116 1116
1762 200000 | 727 1718 1079 1079
1761 200000 | 690 1718 1114 1114
1790 200000 | 718 1751 1111 1111
1765 200000 | 714 1716 1100 1100
1883 200000 | 760 1833 1173 1173
1871 200000 | 767 1833 1142 1142
1758 200000 | 704 1720 1092 1092
1861 200000 | 708 1821 1193 1193
1742 200000 | 693 1692 1099 1099
1879 200000 | 760 1831 1167 1167
1821 200000 | 700 1777 1165 1165
1786 200000 | 702 1745 1125 1125
1840 200000 | 789 1789 1102 1102
1811 200000 | 736 1764 1122 1122
1830 200000 | 723 1783 1154 1154
1795 200000 | 749 1747 1094 1094
1752 200000 | 717 1704 1083 1083
1853 200000 | 747 1803 1156 1156
1874 200000 | 794 1821 1133 1133
1786 200000 | 725 1747 1100 1100
1732 200000 | 683 1691 1090 1090
1884 200000 | 757 1823 1188 1188
1783 200000 | 714 1743 1109 1109
1733 200000 | 669 1697 1100 1100
1749 200000 | 699 1712 1087 1087
1840 200000 | 713 1786 1181 1181
