9280 76035 | 7756 3045 7759 7759
9240 76035 | 7676 3062 7742 7742
9394 76035 | 7903 2979 7906 7906
9425 76035 | 7857 3112 7881 7881
9448 76035 | 7920 3045 7931 7931
24778 200000 | 20613 8171 20772 20772
24564 200000 | 20635 7976 20517 20517
24530 200000 | 20463 8111 20486 20486
24575 200000 | 20629 7960 20561 20561
24715 200000 | 20576 8196 20658 20658
24705 200000 | 20612 8040 20758 20758
24754 200000 | 20602 8122 20784 20784
24698 200000 | 20645 8000 20751 20751
24745 200000 | 20634 8033 20823 20823
24873 200000 | 20797 8004 20945 20945
24835 200000 | 20703 8122 20845 20845
24606 200000 | 20618 7864 20730 20730
24662 200000 | 20609 8021 20694 20694
24654 200000 | 20610 8058 20640 20640
24787 200000 | 20661 8102 20811 20811
24470 200000 | 20355 7991 20594 20594
24596 200000 | 20541 7927 20724 20724
24654 200000 | 20561 7961 20786 20786
24830 200000 | 20776 7967 20917 20917
