643 868 | 440 411 435 435
633 868 | 435 400 431 431
654 868 | 438 448 422 422
636 868 | 432 433 407 407
646 868 | 435 414 443 443
3271 4383 | 2219 2215 2108 2108
3277 4383 | 2202 2182 2170 2170
3254 4383 | 2206 2132 2170 2170
3288 4383 | 2234 2193 2149 2149
3305 4383 | 2225 2182 2203 2203
3305 4383 | 2189 2189 2232 2232
2656 3536 | 1803 1741 1768 1768
2638 3536 | 1769 1769 1738 1738
2652 3536 | 1746 1780 1778 1778
2666 3536 | 1754 1795 1783 1783
2626 3536 | 1738 1760 1754 1754
2522 3408 | 1676 1688 1680 1680
2555 3408 | 1707 1711 1692 1692
2537 3408 | 1711 1662 1701 1701
2576 3408 | 1742 1713 1697 1697
2545 3408 | 1706 1686 1698 1698
