20624 27487 | 13641 13809 13798 13798
20568 27487 | 13707 13772 13657 13657
20574 27487 | 13772 13654 13722 13722
20554 27487 | 13656 13755 13697 13697
20619 27487 | 13811 13667 13760 13760
17610 23529 | 11868 11776 11576 11576
17714 23529 | 11915 11761 11752 11752
17656 23529 | 11798 11753 11761 11761
17632 23529 | 11878 11783 11603 11603
17584 23529 | 11714 11768 11686 11686
17783 23529 | 11872 11799 11895 11895
58134 77621 | 38758 38765 38745 38745
58246 77621 | 38997 38659 38836 38836
58192 77621 | 38992 38509 38883 38883
58113 77621 | 38925 38637 38664 38664
58194 77621 | 39030 38696 38662 38662
58194 77621 | 38809 38926 38653 38653
