28052 37483 | 18734 18746 18624 18624
28083 37483 | 18698 18685 18783 18783
27897 37483 | 18637 18545 18612 18612
28019 37483 | 18560 18769 18709 18709
28074 37483 | 18747 18663 18738 18738
28006 37483 | 18601 18773 18638 18638
40370 53969 | 26815 26963 26962 26962
40320 53969 | 26815 26931 26894 26894
40393 53969 | 26778 26931 27077 27077
40288 53969 | 26765 26910 26901 26901
40446 53969 | 26868 26867 27157 27157
23691 31720 | 15807 15828 15747 15747
23715 31720 | 15688 15807 15935 15935
23683 31720 | 15714 15887 15765 15765
23704 31720 | 15776 15783 15849 15849
23832 31720 | 15835 15792 16037 16037
23762 31720 | 15710 15861 15953 15953
