1106 200000 | 1009 503 700 700
1096 200000 | 978 545 669 669
1166 200000 | 1055 547 730 730
1011 200000 | 907 499 616 616
1062 200000 | 970 528 626 626
1097 200000 | 1000 517 677 677
1088 200000 | 986 527 663 663
1126 200000 | 1016 554 682 682
1122 200000 | 1009 551 684 684
1105 200000 | 990 550 670 670
1126 200000 | 1035 527 690 690
1084 200000 | 997 528 643 643
1141 200000 | 1058 518 706 706
1043 200000 | 950 486 650 650
1172 200000 | 1073 591 680 680
1092 200000 | 993 540 651 651
1080 200000 | 991 524 645 645
1177 200000 | 1073 555 726 726
1140 200000 | 1038 516 726 726
1122 200000 | 1042 525 677 677
1084 200000 | 999 537 632 632
1161 200000 | 1069 569 684 684
1106 200000 | 1012 528 672 672
1063 200000 | 976 543 607 607
1183 200000 | 1086 556 724 724
1101 200000 | 995 503 704 704
1090 200000 | 986 523 671 671
1110 200000 | 1013 529 678 678
1129 200000 | 1026 546 686 686
1122 200000 | 1033 525 686 686
1143 200000 | 1047 535 704 704
1092 200000 | 988 526 670 670
1117 200000 | 1038 522 674 674
1153 200000 | 1051 561 694 694
1143 200000 | 1045 564 677 677
1065 200000 | 962 500 668 668
1092 200000 | 1002 513 669 669
1219 200000 | 1100 590 748 748
1143 200000 | 1048 525 713 713
1077 200000 | 979 532 643 643
1084 200000 | 975 512 681 681
1093 200000 | 1010 497 679 679
1100 200000 | 993 530 677 677
1111 200000 | 1013 545 664 664
1123 200000 | 1022 532 692 692
