1105 200000 | 991 528 691 691
1174 200000 | 1067 530 751 751
1073 200000 | 972 518 656 656
1078 200000 | 985 516 655 655
1143 200000 | 1044 556 686 686
1117 200000 | 1031 536 667 667
1118 200000 | 1005 558 673 673
1074 200000 | 978 527 643 643
1112 200000 | 1016 536 672 672
1145 200000 | 1043 562 685 685
1115 200000 | 1011 535 684 684
1126 200000 | 1026 560 666 666
1110 200000 | 1008 538 674 674
1130 200000 | 1033 546 681 681
1128 200000 | 1035 527 694 694
1086 200000 | 996 548 628 628
1140 200000 | 1052 551 677 677
1114 200000 | 1030 528 670 670
1103 200000 | 998 504 704 704
1129 200000 | 1022 542 694 694
1085 200000 | 993 520 657 657
1112 200000 | 1001 513 710 710
1097 200000 | 1007 541 646 646
1104 200000 | 1012 521 675 675
1086 200000 | 977 496 699 699
1064 200000 | 969 515 644 644
1104 200000 | 999 519 690 690
1143 200000 | 1038 571 677 677
1077 200000 | 966 523 665 665
1116 200000 | 1014 550 668 668
1089 200000 | 990 532 656 656
1166 200000 | 1065 560 707 707
1139 200000 | 1048 567 663 663
1109 200000 | 1016 556 646 646
1094 200000 | 990 536 662 662
1111 200000 | 1003 555 664 664
1095 200000 | 987 506 697 697
1122 200000 | 1019 561 664 664
1120 200000 | 1028 527 685 685
1057 200000 | 958 514 642 642
1103 200000 | 997 523 686 686
1107 200000 | 1003 545 666 666
1160 200000 | 1067 511 742 742
1090 200000 | 989 516 675 675
1115 200000 | 1008 523 699 699
1159 200000 | 1054 523 741 741
