1401 200000 | 1010 741 1051 1051
1396 200000 | 1034 702 1056 1056
1356 200000 | 1024 679 1009 1009
1368 200000 | 995 726 1015 1015
1408 200000 | 1049 679 1088 1088
1360 200000 | 1011 694 1015 1015
1360 200000 | 1014 670 1036 1036
1318 200000 | 982 650 1004 1004
1373 200000 | 992 702 1052 1052
1417 200000 | 1057 693 1084 1084
1417 200000 | 1062 713 1059 1059
1347 200000 | 1013 690 991 991
1400 200000 | 1001 720 1079 1079
1387 200000 | 1051 706 1017 1017
1389 200000 | 1004 747 1027 1027
1445 200000 | 1090 730 1070 1070
1427 200000 | 1042 747 1065 1065
1361 200000 | 1029 672 1021 1021
1377 200000 | 998 743 1013 1013
1347 200000 | 1016 670 1008 1008
1325 200000 | 964 696 990 990
1349 200000 | 1011 706 981 981
1388 200000 | 1023 746 1007 1007
1380 200000 | 1018 711 1031 1031
1373 200000 | 1040 701 1005 1005
1298 200000 | 963 675 958 958
1335 200000 | 950 724 996 996
1438 200000 | 1063 724 1089 1089
1402 200000 | 1042 714 1048 1048
1404 200000 | 1030 722 1056 1056
1298 200000 | 978 660 958 958
1328 200000 | 995 688 973 973
1361 200000 | 988 708 1026 1026
1424 200000 | 1050 742 1056 1056
1344 200000 | 990 698 1000 1000
1327 200000 | 999 617 1038 1038
1389 200000 | 1016 706 1056 1056
