30647 200000 | 27170 24581 9543 9543
30608 200000 | 27139 24718 9359 9359
30141 200000 | 26775 24438 9069 9069
30406 200000 | 26914 24624 9274 9274
30541 200000 | 27058 24748 9276 9276
30496 200000 | 27015 24733 9244 9244
30465 200000 | 27036 24582 9312 9312
30657 200000 | 27144 24714 9456 9456
30476 200000 | 26956 24688 9308 9308
30313 200000 | 26910 24537 9179 9179
30535 200000 | 27058 24754 9258 9258
30050 200000 | 26676 24196 9228 9228
30353 200000 | 27016 24491 9199 9199
30359 200000 | 26849 24558 9311 9311
30491 200000 | 26962 24623 9397 9397
30365 200000 | 26912 24559 9259 9259
30527 200000 | 27013 24610 9431 9431
