1330 200000 | 987 1029 644 644
1290 200000 | 995 956 629 629
1313 200000 | 998 982 646 646
1314 200000 | 985 968 675 675
1319 200000 | 967 975 696 696
1365 200000 | 1000 997 733 733
1356 200000 | 1013 987 712 712
1307 200000 | 973 967 674 674
1271 200000 | 957 932 653 653
1317 200000 | 975 977 682 682
1316 200000 | 982 977 673 673
1308 200000 | 971 968 677 677
1323 200000 | 984 988 674 674
1322 200000 | 973 972 699 699
1313 200000 | 929 1000 697 697
1299 200000 | 971 987 640 640
1365 200000 | 1017 1024 689 689
1387 200000 | 1038 1025 711 711
1379 200000 | 1023 1033 702 702
1320 200000 | 1006 995 639 639
1339 200000 | 997 993 688 688
1316 200000 | 982 978 672 672
1322 200000 | 972 979 693 693
1311 200000 | 966 983 673 673
1327 200000 | 990 998 666 666
1334 200000 | 979 996 693 693
1248 200000 | 936 914 646 646
1332 200000 | 1011 981 672 672
1319 200000 | 985 988 665 665
1336 200000 | 1008 960 704 704
1338 200000 | 1027 977 672 672
1325 200000 | 988 964 698 698
1221 200000 | 916 902 624 624
1296 200000 | 994 927 671 671
1332 200000 | 996 988 680 680
1342 200000 | 982 1005 697 697
1264 200000 | 962 957 609 609
1292 200000 | 963 973 648 648
