17566 200000 | 10277 12007 12848 12848
17759 200000 | 10383 12230 12905 12905
17687 200000 | 10427 12008 12939 12939
17483 200000 | 10166 12006 12794 12794
17417 200000 | 10003 11998 12833 12833
17314 200000 | 10033 12064 12531 12531
17411 200000 | 10154 12043 12625 12625
17560 200000 | 10195 12068 12857 12857
17411 200000 | 10152 12019 12651 12651
17681 200000 | 10340 12196 12826 12826
17437 200000 | 10072 12049 12753 12753
17697 200000 | 10275 12170 12949 12949
17795 200000 | 10340 12325 12925 12925
17584 200000 | 10303 12146 12719 12719
17268 200000 | 10039 11857 12640 12640
17435 200000 | 10179 11972 12719 12719
17428 200000 | 10127 11968 12761 12761
17477 200000 | 10102 12041 12811 12811
17454 200000 | 10167 12087 12654 12654
17453 200000 | 10185 12132 12589 12589
17586 200000 | 10360 12023 12789 12789
17474 200000 | 10244 11918 12786 12786
17212 200000 | 10013 11874 12537 12537
17559 200000 | 10283 11929 12906 12906
17611 200000 | 10266 12017 12939 12939
17478 200000 | 10086 12045 12825 12825
17347 200000 | 10069 12050 12575 12575
17600 200000 | 10344 12108 12748 12748
17489 200000 | 10141 12019 12818 12818
