19576 200000 | 12828 13329 12995 12995
19901 200000 | 13194 13401 13207 13207
19786 200000 | 13056 13432 13084 13084
19864 200000 | 13188 13400 13140 13140
19554 200000 | 12831 13239 13038 13038
19759 200000 | 13014 13409 13095 13095
19924 200000 | 13194 13408 13246 13246
19766 200000 | 13035 13461 13036 13036
19899 200000 | 13169 13394 13235 13235
19743 200000 | 13005 13455 13026 13026
19509 200000 | 12846 13263 12909 12909
19488 200000 | 12871 13206 12899 12899
19625 200000 | 12933 13286 13031 13031
19527 200000 | 12849 13198 13007 13007
19652 200000 | 12959 13330 13015 13015
19544 200000 | 12832 13295 12961 12961
19682 200000 | 13012 13310 13042 13042
19650 200000 | 12965 13317 13018 13018
19774 200000 | 13100 13446 13002 13002
19651 200000 | 12865 13325 13112 13112
19581 200000 | 12937 13333 12892 12892
19923 200000 | 13013 13541 13292 13292
19500 200000 | 12836 13132 13032 13032
19641 200000 | 12808 13454 13020 13020
19671 200000 | 13100 13229 13013 13013
19802 200000 | 13050 13353 13201 13201
