377 200000 | 343 218 193 193
377 200000 | 358 195 201 201
384 200000 | 359 200 209 209
371 200000 | 347 198 197 197
368 200000 | 341 196 199 199
410 200000 | 391 219 210 210
386 200000 | 361 186 225 225
399 200000 | 374 213 211 211
386 200000 | 369 201 202 202
369 200000 | 346 196 196 196
398 200000 | 373 216 207 207
372 200000 | 345 207 192 192
370 200000 | 352 180 208 208
1 660 | 1 1 0 0
0 660 | 0 0 0 0
0 660 | 0 0 0 0
1 660 | 1 1 0 0
0 660 | 0 0 0 0
0 660 | 0 0 0 0
1 660 | 1 0 1 1
0 660 | 0 0 0 0
1 660 | 1 1 0 0
0 660 | 0 0 0 0
0 660 | 0 0 0 0
2 660 | 2 1 1 1
1 660 | 1 0 1 1
0 660 | 0 0 0 0
2 660 | 2 2 0 0
3 660 | 3 1 2 2
1 660 | 1 1 0 0
1 660 | 1 0 1 1
0 660 | 0 0 0 0
0 660 | 0 0 0 0
1 660 | 1 0 1 1
3 660 | 3 2 1 1
2 660 | 2 1 1 1
0 660 | 0 0 0 0
2 660 | 2 0 2 2
2 660 | 2 2 0 0
2 660 | 2 2 0 0
2 660 | 2 0 2 2
3 660 | 3 0 3 3
2 660 | 2 0 2 2
