14540 19413 | 9775 9547 9758 9758
14493 19413 | 9693 9665 9628 9628
14678 19413 | 9728 9793 9835 9835
14632 19413 | 9810 9713 9741 9741
14540 19413 | 9646 9714 9720 9720
13501 17978 | 9010 8969 9023 9023
13518 17978 | 9026 9012 8998 8998
13337 17978 | 8886 8939 8849 8849
13491 17978 | 8981 9026 8975 8975
13500 17978 | 9006 9119 8875 8875
22815 30609 | 15191 15194 15245 15245
24427 32625 | 16390 16234 16230 16230
29610 39226 | 19723 19565 19932 19932
22130 29433 | 14763 14807 14690 14690
24498 32591 | 16398 16296 16302 16302
25219 33606 | 16826 16791 16821 16821
23813 31684 | 15882 15970 15774 15774
26782 35637 | 17839 17850 17875 17875
22969 30609 | 15207 15371 15360 15360
24383 32625 | 16204 16260 16302 16302
21983 29433 | 14710 14566 14690 14690
29397 39226 | 19568 19626 19600 19600
24486 32591 | 16342 16363 16267 16267
23830 31684 | 15974 15913 15773 15773
25356 33606 | 16918 16967 16827 16827
26772 35637 | 17788 17928 17828 17828
22874 30609 | 15274 15281 15193 15193
22101 29433 | 14698 14694 14810 14810
24328 32625 | 16357 16277 16022 16022
24321 32591 | 16311 16134 16197 16197
29386 39226 | 19623 19495 19654 19654
23743 31684 | 15858 15821 15807 15807
