1801 200000 | 1350 939 1313 1313
1822 200000 | 1335 994 1315 1315
1860 200000 | 1386 946 1388 1388
1904 200000 | 1408 971 1429 1429
1847 200000 | 1388 915 1391 1391
1815 200000 | 1352 963 1315 1315
1856 200000 | 1408 941 1363 1363
1830 200000 | 1377 926 1357 1357
1839 200000 | 1382 976 1320 1320
1841 200000 | 1380 968 1334 1334
1773 200000 | 1310 962 1274 1274
1843 200000 | 1410 923 1353 1353
1812 200000 | 1350 965 1309 1309
1881 200000 | 1402 985 1375 1375
1884 200000 | 1420 972 1376 1376
1838 200000 | 1365 978 1333 1333
1831 200000 | 1375 933 1354 1354
1864 200000 | 1366 980 1382 1382
1773 200000 | 1286 969 1291 1291
1854 200000 | 1375 992 1341 1341
1793 200000 | 1301 963 1322 1322
1822 200000 | 1336 962 1346 1346
1809 200000 | 1361 933 1324 1324
1849 200000 | 1363 1004 1331 1331
1857 200000 | 1369 1002 1343 1343
1860 200000 | 1390 978 1352 1352
1856 200000 | 1402 960 1350 1350
1842 200000 | 1407 916 1361 1361
