4947 6617 | 3258 3306 3330 3330
4948 6617 | 3294 3288 3314 3314
4990 6617 | 3393 3294 3293 3293
4963 6617 | 3258 3359 3309 3309
4964 6617 | 3299 3269 3360 3360
758 1012 | 535 489 492 492
752 1012 | 507 506 491 491
737 1012 | 505 484 485 485
769 1012 | 512 509 517 517
785 1012 | 521 514 535 535
585 759 | 393 384 393 393
575 759 | 388 370 392 392
542 759 | 376 356 352 352
557 759 | 355 377 382 382
569 759 | 364 380 394 394
2865 3868 | 1883 1918 1929 1929
2931 3868 | 1960 1953 1949 1949
2896 3868 | 1912 1969 1911 1911
2892 3868 | 1930 1922 1932 1932
2957 3868 | 1946 2001 1967 1967
