38613 200000 | 24602 26871 25753 25753
38677 200000 | 24614 26904 25836 25836
38722 200000 | 24523 27064 25857 25857
38590 200000 | 24513 26914 25753 25753
38834 200000 | 24773 27101 25794 25794
38793 200000 | 24766 26963 25857 25857
38865 200000 | 24745 27061 25924 25924
38391 200000 | 24447 26819 25516 25516
38534 200000 | 24647 26846 25575 25575
38916 200000 | 24799 27198 25835 25835
38813 200000 | 24784 26925 25917 25917
38851 200000 | 24716 27020 25966 25966
38762 200000 | 24737 26938 25849 25849
