1926 200000 | 687 1891 1274 1274
1886 200000 | 691 1848 1233 1233
1835 200000 | 636 1802 1232 1232
1976 200000 | 731 1925 1296 1296
1910 200000 | 666 1868 1286 1286
1850 200000 | 644 1809 1247 1247
1876 200000 | 673 1837 1242 1242
1886 200000 | 706 1852 1214 1214
1958 200000 | 713 1922 1281 1281
1925 200000 | 668 1882 1300 1300
1868 200000 | 678 1828 1230 1230
1928 200000 | 708 1893 1255 1255
1949 200000 | 674 1911 1313 1313
1904 200000 | 704 1864 1240 1240
1888 200000 | 672 1850 1254 1254
1852 200000 | 630 1823 1251 1251
1875 200000 | 704 1843 1203 1203
1849 200000 | 693 1808 1197 1197
1851 200000 | 688 1811 1203 1203
1851 200000 | 646 1812 1244 1244
1874 200000 | 659 1830 1259 1259
1831 200000 | 659 1799 1204 1204
1845 200000 | 663 1816 1211 1211
1922 200000 | 673 1882 1289 1289
1955 200000 | 729 1915 1266 1266
1919 200000 | 684 1879 1275 1275
1856 200000 | 719 1816 1177 1177
