131 200000 | 17 129 116 116
137 200000 | 20 134 120 120
129 200000 | 17 128 113 113
138 200000 | 25 136 115 115
112 200000 | 20 109 95 95
146 200000 | 19 143 130 130
140 200000 | 31 136 113 113
123 200000 | 28 118 100 100
120 200000 | 22 118 100 100
140 200000 | 14 139 127 127
116 200000 | 17 111 104 104
136 200000 | 13 134 125 125
116 200000 | 22 115 95 95
150 200000 | 26 146 128 128
124 200000 | 20 121 107 107
124 200000 | 19 119 110 110
140 200000 | 19 136 125 125
130 200000 | 21 127 112 112
133 200000 | 20 130 116 116
135 200000 | 18 135 117 117
147 200000 | 31 142 121 121
124 200000 | 17 123 108 108
122 200000 | 19 118 107 107
123 200000 | 16 119 111 111
138 200000 | 33 134 109 109
132 200000 | 24 130 110 110
159 200000 | 21 157 140 140
145 200000 | 22 140 128 128
124 200000 | 15 121 112 112
118 200000 | 15 116 105 105
127 200000 | 22 125 107 107
18 18420 | 1 18 17 17
14 18420 | 1 14 13 13
16 18420 | 3 15 14 14
18 18420 | 3 18 15 15
6 18420 | 1 6 5 5
20 18420 | 3 20 17 17
19 18420 | 3 18 17 17
11 18420 | 1 11 10 10
10 18420 | 3 10 7 7
10 18420 | 0 10 10 10
13 18420 | 2 12 12 12
6 18420 | 1 6 5 5
6 18420 | 1 6 5 5
14 18420 | 1 14 13 13
17 18420 | 2 16 16 16
204 300000 | 29 199 180 180
12 18420 | 3 12 9 9
10 18420 | 0 10 10 10
13 18420 | 4 13 9 9
9 18420 | 2 8 8 8
6 18420 | 1 6 5 5
16 18420 | 2 16 14 14
8 18420 | 0 8 8 8
8 18420 | 0 8 8 8
12 18420 | 0 12 12 12
10 18420 | 2 9 9 9
14 18420 | 1 14 13 13
15 18420 | 4 14 12 12
8 18420 | 1 8 7 7
12 18420 | 3 12 9 9
8 18420 | 3 8 5 5
209 300000 | 27 206 185 185
202 300000 | 26 199 179 179
14 18420 | 2 13 13 13
196 300000 | 39 192 161 161
217 300000 | 29 212 193 193
184 300000 | 25 179 164 164
199 300000 | 24 194 180 180
198 300000 | 35 189 172 172
170 300000 | 21 169 150 150
