19134 200000 | 5585 16275 16408 16408
19393 200000 | 5614 16422 16750 16750
19495 200000 | 5680 16563 16747 16747
19334 200000 | 5465 16506 16697 16697
19466 200000 | 5727 16541 16664 16664
19525 200000 | 5694 16630 16726 16726
19485 200000 | 5873 16379 16718 16718
19311 200000 | 5673 16329 16620 16620
19347 200000 | 5539 16466 16689 16689
19233 200000 | 5631 16320 16515 16515
19312 200000 | 5624 16348 16652 16652
19705 200000 | 5766 16742 16902 16902
19490 200000 | 5706 16544 16730 16730
19559 200000 | 5841 16511 16766 16766
19182 200000 | 5666 16266 16432 16432
19441 200000 | 5625 16495 16762 16762
19336 200000 | 5693 16303 16676 16676
19255 200000 | 5677 16277 16556 16556
21423 220693 | 6294 18159 18393 18393
29321 300000 | 8485 24898 25259 25259
28981 300000 | 8515 24562 24885 24885
28946 300000 | 8505 24616 24771 24771
28773 300000 | 8417 24266 24863 24863
28974 300000 | 8420 24705 24823 24823
19485 201329 | 5602 16606 16762 16762
29135 300000 | 8544 24671 25055 25055
21380 220693 | 6335 18163 18262 18262
28857 300000 | 8515 24444 24755 24755
29124 300000 | 8515 24629 25104 25104
28918 300000 | 8535 24490 24811 24811
29001 300000 | 8696 24416 24890 24890
