421 562 | 289 290 263 263
418 562 | 277 271 288 288
418 562 | 275 271 290 290
416 562 | 281 286 265 265
434 562 | 285 284 299 299
2179 2886 | 1442 1433 1483 1483
2143 2886 | 1433 1436 1417 1417
2174 2886 | 1472 1445 1431 1431
2158 2886 | 1402 1477 1437 1437
2195 2886 | 1462 1478 1450 1450
2193 2886 | 1467 1439 1480 1480
1722 2291 | 1175 1129 1140 1140
1725 2291 | 1155 1162 1133 1133
1711 2291 | 1126 1159 1137 1137
1728 2291 | 1156 1185 1115 1115
1712 2291 | 1122 1185 1117 1117
1646 2205 | 1090 1110 1092 1092
1682 2205 | 1078 1148 1138 1138
1655 2205 | 1107 1071 1132 1132
1655 2205 | 1066 1075 1169 1169
1643 2205 | 1082 1110 1094 1094
1670 2205 | 1093 1139 1108 1108
