243 200000 | 240 98 148 148
252 200000 | 246 109 149 149
231 200000 | 229 93 140 140
253 200000 | 250 100 156 156
241 200000 | 236 92 154 154
250 200000 | 248 101 151 151
231 200000 | 229 104 129 129
274 200000 | 268 113 167 167
247 200000 | 245 88 161 161
226 200000 | 223 84 145 145
238 200000 | 233 83 160 160
241 200000 | 237 97 148 148
252 200000 | 245 115 144 144
235 200000 | 230 92 148 148
257 200000 | 250 100 164 164
244 200000 | 238 105 145 145
265 200000 | 258 91 181 181
248 200000 | 243 109 144 144
279 200000 | 273 105 180 180
252 200000 | 248 88 168 168
224 200000 | 217 83 148 148
251 200000 | 244 107 151 151
267 200000 | 260 96 178 178
240 200000 | 236 96 148 148
235 200000 | 227 106 137 137
227 200000 | 221 88 145 145
264 200000 | 264 96 168 168
238 200000 | 232 86 158 158
236 200000 | 231 100 141 141
230 200000 | 226 92 142 142
260 200000 | 254 109 157 157
223 200000 | 222 91 133 133
236 200000 | 229 101 142 142
228 200000 | 219 81 156 156
267 200000 | 264 104 166 166
272 200000 | 270 104 170 170
241 200000 | 235 97 150 150
245 200000 | 241 94 155 155
270 200000 | 267 102 171 171
293 200000 | 289 118 179 179
266 200000 | 258 111 163 163
243 200000 | 238 100 148 148
234 200000 | 232 90 146 146
244 200000 | 237 110 141 141
273 200000 | 265 112 169 169
250 200000 | 247 89 164 164
285 200000 | 282 114 174 174
268 200000 | 263 97 176 176
241 200000 | 236 109 137 137
272 200000 | 269 106 169 169
269 200000 | 264 108 166 166
266 200000 | 261 108 163 163
254 200000 | 249 94 165 165
270 200000 | 265 124 151 151
231 200000 | 229 91 142 142
259 200000 | 252 116 150 150
243 200000 | 239 103 144 144
260 200000 | 253 99 168 168
246 200000 | 236 105 151 151
267 200000 | 260 104 170 170
278 200000 | 274 116 166 166
243 200000 | 237 91 158 158
222 200000 | 219 75 150 150
271 200000 | 267 105 170 170
241 200000 | 240 88 154 154
247 200000 | 242 102 150 150
247 200000 | 244 95 155 155
234 200000 | 229 96 143 143
244 200000 | 238 90 160 160
276 200000 | 273 117 162 162
272 200000 | 267 104 173 173
264 200000 | 258 105 165 165
220 200000 | 215 91 134 134
247 200000 | 242 97 155 155
260 200000 | 254 98 168 168
212 200000 | 207 90 127 127
251 200000 | 248 112 142 142
229 200000 | 227 86 145 145
241 200000 | 236 80 166 166
266 200000 | 256 111 165 165
291 200000 | 282 113 187 187
260 200000 | 257 107 156 156
261 200000 | 258 95 169 169
268 200000 | 264 117 155 155
269 200000 | 264 114 160 160
