29765 172881 | 26695 5595 27240 27240
29988 172881 | 26809 5625 27542 27542
29816 172881 | 26676 5606 27350 27350
29867 172881 | 26688 5667 27379 27379
29885 172881 | 26747 5648 27375 27375
28161 163750 | 25134 5446 25742 25742
28208 163750 | 25259 5263 25894 25894
28264 163750 | 25293 5275 25960 25960
27999 163750 | 24978 5346 25674 25674
28114 163750 | 25135 5368 25725 25725
21890 126397 | 19629 4111 20040 20040
21866 126397 | 19599 4086 20047 20047
21799 126397 | 19438 4116 20044 20044
21727 126397 | 19473 4068 19913 19913
21644 126397 | 19349 4087 19852 19852
21955 126397 | 19762 3987 20161 20161
