42153 56250 | 27961 28274 28071 28071
42185 56250 | 27978 28258 28134 28134
42145 56250 | 28148 28073 28069 28069
42392 56250 | 28270 28260 28254 28254
42096 56250 | 28136 27910 28146 28146
34326 46075 | 22942 22912 22798 22798
34356 46075 | 22896 22946 22870 22870
34642 46075 | 23178 22935 23171 23171
34604 46075 | 23166 23042 23000 23000
34774 46075 | 23114 23188 23246 23246
22923 30612 | 15178 15306 15362 15362
23112 30612 | 15369 15463 15392 15392
22919 30612 | 15429 15238 15171 15171
22987 30612 | 15393 15365 15216 15216
22929 30612 | 15295 15310 15253 15253
22930 30612 | 15341 15316 15203 15203
