53490 71446 | 35562 35608 35810 35810
53736 71446 | 35969 35750 35753 35753
53582 71446 | 35641 35844 35679 35679
53328 71446 | 35425 35628 35603 35603
53588 71446 | 35793 35649 35734 35734
37861 50458 | 25384 25208 25130 25130
37832 50458 | 25195 25282 25187 25187
37782 50458 | 25128 25121 25315 25315
37937 50458 | 25276 25288 25310 25310
37950 50458 | 25361 25230 25309 25309
37827 50458 | 25155 25259 25240 25240
962 1304 | 636 662 626 626
1002 1304 | 680 681 643 643
969 1304 | 644 660 634 634
974 1304 | 669 674 605 605
973 1304 | 640 652 654 654
991 1304 | 643 684 655 655
