41182 54719 | 27395 27570 27399 27399
40980 54719 | 27310 27345 27305 27305
41055 54719 | 27370 27312 27428 27428
41060 54719 | 27361 27313 27446 27446
41050 54719 | 27314 27454 27332 27332
36432 48536 | 24313 24138 24413 24413
36438 48536 | 24320 24247 24309 24309
36371 48536 | 24256 24321 24165 24165
36345 48536 | 24328 24184 24178 24178
36572 48536 | 24206 24452 24486 24486
20552 27442 | 13549 13758 13797 13797
20740 27442 | 13900 13683 13897 13897
20682 27442 | 13882 13756 13726 13726
20541 27442 | 13651 13725 13706 13706
20588 27442 | 13618 13790 13768 13768
20416 27442 | 13503 13644 13685 13685
