61 79 | 35 41 46 46
51 79 | 35 33 34 34
56 79 | 46 31 35 35
54 79 | 34 34 40 40
55 74 | 39 32 39 39
48 74 | 32 33 30 31
48 78 | 33 29 34 34
55 74 | 36 38 36 36
51 78 | 35 32 35 35
49 74 | 37 32 29 29
55 78 | 32 37 41 41
60 78 | 46 26 47 48
339 485 | 222 223 233 233
338 485 | 224 207 246 245
333 485 | 205 217 244 244
341 485 | 219 219 243 244
335 485 | 225 212 233 233
302 478 | 193 194 216 217
313 478 | 207 208 210 211
328 478 | 227 200 229 229
317 478 | 219 199 216 216
319 478 | 208 200 229 230
325 469 | 225 226 201 199
332 469 | 221 214 228 229
326 469 | 221 210 219 221
310 469 | 213 194 212 213
334 469 | 222 213 232 233
