41 85 | 21 26 35 35
46 85 | 24 26 42 42
33 85 | 19 21 26 26
43 85 | 22 30 34 34
36 83 | 22 23 27 27
38 83 | 25 18 33 33
223 513 | 107 151 188 188
224 513 | 114 145 189 189
228 513 | 119 150 187 187
208 513 | 103 144 169 169
219 513 | 113 141 184 184
232 507 | 111 148 205 205
226 507 | 112 153 187 187
224 507 | 122 149 179 177
212 507 | 109 137 178 178
213 507 | 120 133 173 173
230 503 | 119 150 192 191
218 503 | 96 162 178 178
215 503 | 110 139 181 181
218 503 | 107 137 192 192
214 503 | 118 150 161 160
215 518 | 114 135 181 181
227 518 | 114 157 183 183
235 518 | 129 158 183 183
226 518 | 128 142 182 182
230 518 | 121 152 187 187
